id,key,value,type
357770260,feature_id,982954,gnis
357770260,state_id,37,gnis
357770260,name,Central Church,regular
357770260,religion,christian,regular
357770290,amenity,college,regular
357770290,ele,202,regular
357770290,county_id,119,gnis
357770290,created,06/17/1980,gnis
357770290,feature_id,982966,gnis
357770290,state_id,37,gnis
357770290,name,Central Piedmont Community College,regular
357770344,amenity,school,regular
357770344,ele,212,regular
357770344,county_id,119,gnis
357770344,created,06/17/1980,gnis
357770344,feature_id,982999,gnis
357770344,state_id,37,gnis
357770344,name,Chantilly Elementary School,regular
357770424,amenity,school,regular
357770424,ele,213,regular
357770424,county_id,119,gnis
357770424,created,01/01/2000,gnis
357770424,feature_id,983048,gnis
357770424,state_id,37,gnis
357770424,name,Charlotte Country Day School,regular
357770590,amenity,school,regular
357770590,ele,194,regular
357770590,county_id,119,gnis
357770590,created,01/01/2000,gnis
357770590,feature_id,983173,gnis
357770590,state_id,37,gnis
357770590,name,Charlotte Christian School,regular
357770590,wikidata,Q5085875,regular
357770853,amenity,school,regular
357770853,ele,231,regular
357770853,county_id,119,gnis
357770853,created,01/01/2000,gnis
357770853,feature_id,983393,gnis
357770853,state_id,37,gnis
357770853,name,Collinswood Elementary School,regular
357771593,amenity,school,regular
357771593,ele,232,regular
357771593,county_id,119,gnis
357771593,created,01/01/2000,gnis
357771593,feature_id,984195,gnis
357771593,state_id,37,gnis
357771593,name,Dilworth Elementary School,regular
357771843,amenity,school,regular
357771843,ele,246,regular
357771843,county_id,119,gnis
357771843,created,06/17/1980,gnis
357771843,feature_id,984516,gnis
357771843,state_id,37,gnis
357771843,name,East Mecklenburg High School,regular
357771843,wikidata,Q5328952,regular
357771915,amenity,place_of_worship,regular
357771915,ele,225,regular
357771915,county_id,119,gnis
357771915,created,06/17/1980,gnis
357771915,feature_id,984573,gnis
357771915,state_id,37,gnis
357771915,name,Eastway Church,regular
357771915,religion,christian,regular
357771934,amenity,place_of_worship,regular
357771934,ele,216,regular
357771934,county_id,119,gnis
357771934,created,06/17/1980,gnis
357771934,feature_id,984587,gnis
357771934,state_id,37,gnis
357771934,name,Ebenezer Church,regular
357771934,religion,christian,regular
357772806,amenity,school,regular
357772806,ele,228,regular
357772806,county_id,119,gnis
357772806,created,01/01/2000,gnis
357772806,feature_id,985094,gnis
357772806,state_id,37,gnis
357772806,name,First Ward Elementary School,regular
357772806,wheelchair,yes,regular
357773127,comment,"moved name to the way, Freedom Park",regular
357773127,ele,190,regular
